HARI,TANGGAL,SESI,MATAKULIAH,JAM,KELAS,DOSEN,LINK_SERVER
Senin,04/05/2026,I,Pendidikan Untuk Pembangunan Berkelanjutan,14.00 - 15.00,AB A SG,M. Izhar,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Pendidikan Untuk Pembangunan Berkelanjutan,14.00 - 15.00,AB B SG,M. Fariz Afif Hasibuan,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Pendidikan Untuk Pembangunan Berkelanjutan,14.00 - 15.00,IF A SG,Hardiansyah Tambunan,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Pendidikan Untuk Pembangunan Berkelanjutan,14.00 - 15.00,IF B SG,Windi Saputri Simamora,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Pendidikan Untuk Pembangunan Berkelanjutan,14.00 - 15.00,IF C SG,Bdn. Bilqis Nur Mustofa,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Pendidikan Untuk Pembangunan Berkelanjutan,14.00 - 15.00,IF D SG,Siti Sarah Harahap,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Gizi dalam Kesehatan Reproduksi,14.00 - 15.00,KB A SG,Yusmalia Hidayati,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,II,Ekonomi Mikro,15.30 - 16.30,AB A SG,Muhammad Yusuf Ibrahim,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,II,Ekonomi Mikro,15.30 - 16.30,AB B SG,Muhammad Yusuf Ibrahim,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan Untuk Pembangunan Berkelanjutan,17.30 - 18.30,AB A SR,Dela Arinda,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan Untuk Pembangunan Berkelanjutan,17.30 - 18.30,AB B SR,Dela Arinda,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan Untuk Pembangunan Berkelanjutan,17.30 - 18.30,AB C SR,Safrizal,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan Untuk Pembangunan Berkelanjutan,17.30 - 18.30,AB D SR,M. Izhar,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan Untuk Pembangunan Berkelanjutan,17.30 - 18.30,AB E SR,Muhtar Ardansah Munthe,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan Untuk Pembangunan Berkelanjutan,17.30 - 18.30,AB F SR,Safrizal,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan Untuk Pembangunan Berkelanjutan,17.30 - 18.30,IF A SR,Rahman Abdel Rouf,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan Untuk Pembangunan Berkelanjutan,17.30 - 18.30,IF B SR,Rahman Abdel Rouf,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan Untuk Pembangunan Berkelanjutan,17.30 - 18.30,IF C SR,Debby Pratiwi,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan Untuk Pembangunan Berkelanjutan,17.30 - 18.30,IF D SR,Enda Surany Barus,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan Untuk Pembangunan Berkelanjutan,17.30 - 18.30,IF E SR,Rahman Abdel Rouf,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Gizi dalam Kesehatan Reproduksi,17.30 - 18.30,KB A SR,Yusmalia Hidayati,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Gizi dalam Kesehatan Reproduksi,17.30 - 18.30,KB B SR,Yusmalia Hidayati,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Kreatifitas dan Inovasi dalam berwirausaha,17.30 - 18.30,KW E SR,Yuliana,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Ekonomi Mikro,19.20 - 20.20,AB A SR,Siti Mewah Siregar,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Ekonomi Mikro,19.20 - 20.20,AB B SR,Mutiara Fahmi,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Ekonomi Mikro,19.20 - 20.20,AB C SR,Muhammad Yusuf Ibrahim,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Ekonomi Mikro,19.20 - 20.20,AB D SR,Mutiara Fahmi,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Ekonomi Mikro,19.20 - 20.20,AB E SR,Edgar Octoyuda,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Ekonomi Mikro,19.20 - 20.20,AB F SR,Siti Mewah Siregar,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Kreatifitas dan Inovasi dalam berwirausaha,19.20 - 20.20,KW A SR,Arsy Annisa Asti,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Kreatifitas dan Inovasi dalam berwirausaha,19.20 - 20.20,KW B SR,Yuliana,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Kreatifitas dan Inovasi dalam berwirausaha,19.20 - 20.20,KW C SR,Devi Purnama Sari,https://s1.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Kreatifitas dan Inovasi dalam berwirausaha,19.20 - 20.20,KW D SR,Aprilda Yanti,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Pengantar Asuhan Kebidanan,14.00 - 15.00,KB A SG,Dewi Faradillah,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Pertanggungjawaban Sosial Perusahaan,14.00 - 15.00,KW A SG,Dorothy Ferary Panjaitan,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Pertanggungjawaban Sosial Perusahaan,14.00 - 15.00,KW B SG,Hendro Sutomo Ginting,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Pertanggungjawaban Sosial Perusahaan,14.00 - 15.00,KW C SG,Yuliana,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Bisnis Kehutanan,14.00 - 15.00,MH A SG,Hanna Tresia Silalahi,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Bisnis Kehutanan,14.00 - 15.00,MH B SG,Ulil Amri Daulay,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,II,Koperasi dan Kelembagaan Agribisnis,15.30 - 16.30,AB A SG,Herlyna Novasari Siahaan,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,II,Koperasi dan Kelembagaan Agribisnis,15.30 - 16.30,AB B SG,Herlyna Novasari Siahaan,https://s1.satyaterrabhinneka.ac.id
